Customer Name,facturas_total,descuento_medio,compras_total,compras_media,beneficio_total,costo_envio_medio,cluster_ward
Aaron Bergman,89,0.11011235955056181,24644.627500000002,276.90592696629216,4683.208,35.14955056179775,0
Aaron Hawkins,56,0.16092857142857145,20759.51384,370.7056042857143,2450.92904,40.88232142857142,0
Adam Bellavance,68,0.13176470588235295,20186.7784,296.8643882352941,4979.9769,40.16897058823529,0
Adam Hart,84,0.09323809523809523,21718.20142,258.55001690476195,1902.03342,28.165714285714287,0
Adrian Barton,77,0.2090909090909091,25123.18,326.27506493506496,6417.2845,34.26337662337663,0
Alan Dominguez,55,0.16490909090909092,18539.7928,337.0871418181818,1539.9922000000001,28.967454545454547,0
Alan Hwang,74,0.11083783783783784,23642.85018,319.49797540540544,4342.37078,31.96243243243243,0
Alan Schoenberger,73,0.16287671232876713,21836.4137,299.12895479452055,2503.6348,26.654657534246574,0
Alejandro Savely,77,0.056519480519480525,21118.32446,274.26395402597404,2533.56606,30.90753246753247,0
Alice McCarthy,77,0.08792207792207793,18766.156600000002,243.7163194805195,2977.8523999999998,24.372987012987014,0
Amy Cox,39,0.17102564102564102,17152.987399999998,439.8201897435897,3980.4112,45.08538461538461,0
Andrew Allen,48,0.105875,19759.08278,411.6475579166667,2071.08818,37.818125,0
Andrew Roberts,70,0.09674285714285714,16916.52336,241.66461942857143,3561.75886,21.889142857142858,0
Ann Blume,64,0.106875,18727.2131,292.6127046875,1870.0107,41.99390625,0
Anna Andreadi,91,0.18564835164835164,17312.2147,190.2441175824176,2443.093,21.552417582417583,0
Anna Häberlin,76,0.12110526315789474,18094.05912,238.0797252631579,2466.01172,19.232236842105266,0
Anne McFarland,79,0.09860759493670886,25522.3345,323.0675253164557,3238.5851000000002,43.09417721518987,0
Anthony Jacobs,79,0.23050632911392407,17757.0612,224.77292658227847,1172.2402000000002,29.5226582278481,0
Anthony Rawles,72,0.12597222222222224,17339.9476,240.83260555555555,3117.6468,25.31736111111111,0
Art Ferguson,98,0.13989795918367348,28187.3405,287.6259234693877,2278.3037000000004,29.46204081632653,0
Art Foster,76,0.12136842105263158,20066.15728,264.0283852631579,2971.2347800000002,30.75605263157895,0
Arthur Gainer,75,0.14536,19873.64176,264.9818901333333,1733.24716,26.9776,0
Arthur Prichep,87,0.07540229885057471,18545.9403,213.17172758620688,3137.6156,31.533563218390807,0
Barry Franz,69,0.17947826086956523,24079.87166,348.98364724637685,1115.67056,38.6995652173913,0
Barry Gonzalez,67,0.1274626865671642,20023.5634,298.8591552238806,1530.1779999999999,30.526716417910446,0
Barry Weirich,51,0.09945098039215687,17436.5359,341.8928607843137,3695.4033,41.304313725490196,0
Bart Watters,96,0.09666666666666666,32310.446500000002,336.5671510416667,3595.8858999999998,34.454375,0
Becky Martin,78,0.17297435897435898,27169.9827,348.33311153846154,-1096.9254,30.67833333333333,0
Ben Ferrer,86,0.07723255813953489,23219.76044,269.99721441860464,4135.10114,22.822441860465116,0
Benjamin Patterson,67,0.16373134328358208,18708.6016,279.23285970149254,912.2121000000001,48.694328358208956,0
Benjamin Venier,61,0.16377049180327868,21365.942,350.26134426229504,2819.7504,30.388688524590165,0
Bill Eplett,102,0.08354901960784314,28479.1674,279.20752352941173,7410.0053,26.429313725490196,0
Bill Shonely,68,0.053794117647058826,23508.65596,345.71552882352944,5968.90736,36.0925,0
Bill Stewart,66,0.19233333333333336,18775.4363,284.4763075757576,1815.0301,28.19181818181818,0
Bobby Elias,60,0.11223333333333334,18411.92896,306.8654826666667,3789.1560600000003,39.49033333333333,0
Brad Eason,69,0.1627536231884058,18983.8353,275.1280478260869,978.0241000000001,30.514492753623188,0
Brad Norvell,70,0.12765714285714286,26201.95588,374.31365542857145,2124.05298,42.87657142857143,0
Brian Derr,68,0.14176470588235296,16919.9613,248.82296029411762,2792.3093,24.943529411764708,0
Brian Moss,78,0.09941025641025641,17458.10208,223.82182153846153,4385.84518,30.87525641025641,0
Brian Stugart,71,0.1119718309859155,22570.789,317.8984366197183,3612.8758000000003,35.69197183098591,0
Brosina Hoffman,97,0.14637113402061855,28120.621,289.9033092783505,4876.9398,23.123711340206185,0
Bruce Stewart,83,0.13626506024096385,19237.2195,231.77372891566264,496.95910000000003,21.11024096385542,0
Bryan Mills,84,0.13988095238095238,20691.1949,246.3237488095238,2512.6168,29.892380952380954,0
Bryan Spruell,69,0.05449275362318841,17252.0658,250.0299391304348,2783.2074000000002,22.20521739130435,0
